1_star_a,2_star_a,3_star_a,4_star_a,5_star_a,overall_rating_a,total_rating_number_a,title,url_a,1_star_g,2_star_g,3_star_g,4_star_g,5_star_g,overall_rating_g,total_rating_number_g,goodreads_id,url_g
4,3,8,20,65,4.4,748,The Right Stuff,https://www.amazon.com/Right-Stuff-Tom-Wolfe/dp/0312427565,1,2,14,36,45,4.24,35771,586472,https://www.amazon.com/Right-Stuff-Tom-Wolfe/dp/0312427565
10,7,9,19,55,4.1,4550,The Road,https://www.amazon.com/Road-Cormac-McCarthy/dp/0307387895,3,6,18,34,37,3.96,603904,6288,https://www.amazon.com/Road-Cormac-McCarthy/dp/0307387895
7,8,16,24,45,3.9,2339,The Secret History,https://www.amazon.com/Secret-History-Donna-Tartt/dp/1400031702,1,5,16,35,41,4.08,217603,29044,https://www.amazon.com/Secret-History-Donna-Tartt/dp/1400031702
1,2,4,17,76,4.7,4353,The Shining,https://www.amazon.com/Shining-Stephen-King/dp/0307743659,2,3,14,33,46,4.19,898639,11588,https://www.amazon.com/Shining-Stephen-King/dp/0307743659
5,5,10,22,58,4.2,1224,The Stranger,https://www.amazon.com/Stranger-Albert-Camus/dp/0679720200,2,5,20,36,35,3.97,542828,49552,https://www.amazon.com/Stranger-Albert-Camus/dp/0679720200
10,11,16,20,43,3.8,1353,The Sun Also Rises,https://www.amazon.com/Sun-Also-Rises-Ernest-Hemingway/dp/0743297334,3,7,23,34,30,3.82,322666,3876,https://www.amazon.com/Sun-Also-Rises-Ernest-Hemingway/dp/0743297334
4,3,8,21,64,4.4,2623,The Things They Carried,https://www.amazon.com/Things-They-Carried-Tim-OBrien/dp/0618706410,1,4,16,35,42,4.12,209832,133518,https://www.amazon.com/Things-They-Carried-Tim-OBrien/dp/0618706410
4,4,6,8,78,4.6,3911,The Very Hungry Caterpillar,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907,2,3,14,23,56,4.29,333936,4948,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907
3,3,7,16,71,4.5,1457,The Wind in the Willows,https://www.amazon.com/Wind-Willows-Kenneth-Grahame/dp/0763622427,2,5,22,33,36,3.98,153946,5659,https://www.amazon.com/Wind-Willows-Kenneth-Grahame/dp/0763622427
5,8,10,21,56,4.2,898,The Wind-Up Bird Chronicle: A Novel,https://www.amazon.com/Wind-Up-Bird-Chronicle-Novel/dp/0679775439,0,3,9,33,53,4.38,65,8267570,https://www.amazon.com/Wind-Up-Bird-Chronicle-Novel/dp/0679775439
5,6,6,19,64,4.3,363,The World According to Garp: A Novel,https://www.amazon.com/World-According-Garp-Ballantine-Readers/dp/0345418018,0,0,0,0,0,0.0,0,31867921,https://www.amazon.com/World-According-Garp-Ballantine-Readers/dp/0345418018
10,8,11,19,52,4.1,1243,The Year of Magical Thinking,https://www.amazon.com/Year-Magical-Thinking-Joan-Didion/dp/1400078431,2,7,22,35,32,3.88,111510,7815,https://www.amazon.com/Year-Magical-Thinking-Joan-Didion/dp/1400078431
7,5,9,24,55,4.3,1668,Things Fall Apart,https://www.amazon.com/Things-Fall-Apart-Chinua-Achebe/dp/0385474547,4,10,27,35,23,3.63,235071,37781,https://www.amazon.com/Things-Fall-Apart-Chinua-Achebe/dp/0385474547
2,1,3,11,83,4.7,10164,To Kill a Mockingbird,https://www.amazon.com/Kill-Mockingbird-Harper-Lee/dp/0446310786,1,3,13,29,51,4.26,3663321,2657,https://www.amazon.com/Kill-Mockingbird-Harper-Lee/dp/0446310786
1,1,2,11,85,4.8,27674,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",https://www.amazon.com/Unbroken-World-Survival-Resilience-Redemption/dp/0812974492,2,2,9,26,59,4.38,604330,8664353,https://www.amazon.com/Unbroken-World-Survival-Resilience-Redemption/dp/0812974492
4,3,9,20,64,4.3,386,Valley of the Dolls,https://www.amazon.com/Valley-Dolls-Jacqueline-Susann/dp/0802135196,2,9,28,33,26,3.72,41482,581811,https://www.amazon.com/Valley-Dolls-Jacqueline-Susann/dp/0802135196
1,1,1,6,91,4.9,1674,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,https://www.amazon.com/Where-Sidewalk-Ends-Silverstein-Anniversary/dp/0060291699,1,2,13,28,53,4.29,1074984,30119,https://www.amazon.com/Where-Sidewalk-Ends-Silverstein-Anniversary/dp/0060291699
3,2,3,7,85,4.7,2149,Where the Wild Things Are,https://www.amazon.com/Where-Wild-Things-Maurice-Sendak/dp/0060254920,2,4,14,25,52,4.22,697226,19543,https://www.amazon.com/Where-Wild-Things-Maurice-Sendak/dp/0060254920
