87,1,4,16,35,42,4.12,"209,832",133518,The Things They Carried,https://www.amazon.com/Things-They-Carried-Tim-OBrien/dp/0618706410
88,2,3,14,23,56,4.29,"333,936",4948,The Very Hungry Caterpillar,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907
89,2,5,22,33,36,3.98,"153,946",5659,The Wind in the Willows,https://www.amazon.com/Wind-Willows-Kenneth-Grahame/dp/0763622427
90,0,3,9,33,53,4.38,65,8267570,The Wind-Up Bird Chronicle: A Novel,https://www.amazon.com/Wind-Up-Bird-Chronicle-Novel/dp/0679775439
91,0,0,0,0,0,0.0,0,31867921,The World According to Garp: A Novel,https://www.amazon.com/World-According-Garp-Ballantine-Readers/dp/0345418018
92,2,7,22,35,32,3.88,"111,510",7815,The Year of Magical Thinking,https://www.amazon.com/Year-Magical-Thinking-Joan-Didion/dp/1400078431
93,4,10,27,35,23,3.63,"235,071",37781,Things Fall Apart,https://www.amazon.com/Things-Fall-Apart-Chinua-Achebe/dp/0385474547
94,1,3,13,29,51,4.26,"3,663,321",2657,To Kill a Mockingbird,https://www.amazon.com/Kill-Mockingbird-Harper-Lee/dp/0446310786
95,2,2,9,26,59,4.38,"604,330",8664353,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",https://www.amazon.com/Unbroken-World-Survival-Resilience-Redemption/dp/0812974492
96,2,9,28,33,26,3.72,"41,482",581811,Valley of the Dolls,https://www.amazon.com/Valley-Dolls-Jacqueline-Susann/dp/0802135196
97,1,2,13,28,53,4.29,"1,074,984",30119,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,https://www.amazon.com/Where-Sidewalk-Ends-Silverstein-Anniversary/dp/0060291699
98,2,4,14,25,52,4.22,"697,226",19543,Where the Wild Things Are,https://www.amazon.com/Where-Wild-Things-Maurice-Sendak/dp/0060254920
